\lambda [nm]	
270.039978	-0.000299136
270.2200012	-0.000303906
270.3999939	-0.000309851
270.5799866	-0.000302509
270.7599792	-0.000307308
270.9400024	-0.000303778
271.1199951	-0.00030287
271.2999878	-0.000306591
271.4799805	-0.000301094
271.6599731	-0.000294266
271.8399963	-0.000296917
272.019989	-0.000302164
272.1999817	-0.0003055
272.3799744	-0.000302311
272.5599976	-0.000303138
272.7399902	-0.000309638
272.9199829	-0.000305214
273.0999756	-0.000306018
273.2799988	-0.000304992
273.4599915	-0.000302824
273.6399841	-0.000293841
273.8199768	-0.000299755
274	-0.000294164
274.1799927	-0.000311954
274.3599854	-0.000299579
274.539978	-0.000296967
274.7200012	-0.000300562
274.8999939	-0.000303143
275.0799866	-0.000302796
275.2599792	-0.000299782
275.4400024	-0.000308168
275.6199951	-0.000297287
275.7999878	-0.000309701
275.9799805	-0.000303976
276.1599731	-0.000296118
276.3399963	-0.000306097
276.519989	-0.000310922
276.6999817	-0.00029875
276.8799744	-0.000300748
277.0599976	-0.000302595
277.2399902	-0.000309503
277.4199829	-0.000303674
277.5999756	-0.000302155
277.7799988	-0.000305285
277.9599915	-0.000297748
278.1399841	-0.000299079
278.3199768	-0.000296299
278.5	-0.000304149
278.6799927	-0.000311005
278.8599854	-0.000304949
279.039978	-0.000315907
279.2200012	-0.000300983
279.3999939	-0.000296524
279.5799866	-0.000305037
279.7599792	-0.000300109
279.9400024	-0.000271665
280.1199951	-0.000291149
280.2999878	-0.000296244
280.4799805	-0.000276554
280.6599731	-0.00028177
280.8399963	-0.000274251
281.019989	-0.00029394
281.1999817	-0.000313231
281.3799744	-0.000282626
281.5599976	-0.000291312
281.7399902	-0.000277368
281.9199829	-0.000310451
282.0999756	-0.000306502
282.2799988	-0.000304399
282.4599915	-0.000281738
282.6399841	-0.00028624
282.8199768	-0.000277283
283	-0.000275635
283.1799927	-0.000289444
283.3599854	-0.000284549
283.539978	-0.000287256
283.7200012	-0.000301209
283.8999939	-0.000301118
284.0799866	-0.000298205
284.2599792	-0.00027585
284.4400024	-0.000278257
284.6199951	-0.000289814
284.7999878	-0.000300263
284.9799805	-0.000285086
285.1600037	-0.000298272
285.3399963	-0.000289879
285.519989	-0.000285046
285.6999817	-0.000298144
285.8799744	-0.000270132
286.0599976	-0.00030415
286.2399902	-0.000295076
286.4199829	-0.0002894
286.5999756	-0.00029928
286.7799988	-0.000300627
286.9599915	-0.000283742
287.1399841	-0.000301846
287.3199768	-0.000297793
287.5	-0.000297739
287.6799927	-0.000296853
287.8599854	-0.000269593
288.039978	-0.000289402
288.2200012	-0.000279221
288.3999939	-0.000284827
288.5799866	-0.000291778
288.7599792	-0.000279872
288.9400024	-0.000297043
289.1199951	-0.00029089
289.2999878	-0.00030109
289.4799805	-0.000289523
289.6600037	-0.000282522
289.8399963	-0.000282075
290.019989	-0.000298213
290.1999817	-0.000278529
290.3799744	-0.0002758
290.5599976	-0.000310879
290.7399902	-0.000283775
290.9199829	-0.000280431
291.0999756	-0.000273512
291.2799988	-0.000285464
291.4599915	-0.000304198
291.6399841	-0.000287927
291.8199768	-0.000292055
292	-0.000282199
292.1799927	-0.00028942
292.3599854	-0.000294974
292.539978	-0.000300878
292.7200012	-0.000274719
292.8999939	-0.000296589
293.0799866	-0.000298391
293.2599792	-0.000302326
293.4400024	-0.000287039
293.6199951	-0.000272039
293.7999878	-0.000302518
293.9799805	-0.000301582
294.1600037	-0.000277596
294.3399963	-0.000268813
294.519989	-0.000293785
294.6999817	-0.000277301
294.8799744	-0.000298167
295.0599976	-0.000300856
295.2399902	-0.000288031
295.4199829	-0.000271161
295.5999756	-0.000281449
295.7799988	-0.000262116
295.9599915	-0.000271033
296.1399841	-0.000263554
296.3199768	-0.00027252
296.5	-0.000274176
296.6799927	-0.000280686
296.8599854	-0.000284022
297.039978	-0.000287543
297.2200012	-0.000279432
297.3999939	-0.000293219
297.5799866	-0.000306127
297.7599792	-0.000278094
297.9400024	-0.000289596
298.1199951	-0.000271291
298.2999878	-0.000295766
298.4799805	-0.000308249
298.6600037	-0.000273738
298.8399963	-0.000274901
299.019989	-0.000293975
299.1999817	-0.000283283
299.3799744	-0.000273013
299.5599976	-0.000273397
299.7399902	-0.000285813
299.9199829	-0.00027787
300.0999756	-0.000286781
300.2799988	-0.000282575
300.4599915	-0.000294988
300.6399841	-0.000273097
300.8199768	-0.000298326
301	-0.000279026
301.1799927	-0.000280093
301.3599854	-0.000283094
301.539978	-0.000291801
301.7200012	-0.00029307
301.8999939	-0.000293931
302.0799866	-0.000283923
302.2599792	-0.000279726
302.4400024	-0.000289765
302.6199951	-0.000285305
302.7999878	-0.000281982
302.9799805	-0.000296846
303.1600037	-0.000279264
303.3399963	-0.000276531
303.519989	-0.00029034
303.6999817	-0.000283198
303.8799744	-0.000277958
304.0599976	-0.000287929
304.2399902	-0.000289668
304.4199829	-0.000288723
304.5999756	-0.00028866
304.7799988	-0.00028455
304.9599915	-0.000277622
305.1399841	-0.000279824
305.3199768	-0.00028497
305.5	-0.000274784
305.6799927	-0.000282759
305.8599854	-0.000283718
306.039978	-0.000299092
306.2200012	-0.000276505
306.3999939	-0.000285257
306.5799866	-0.000286661
306.7599792	-0.000304227
306.9400024	-0.000284372
307.1199951	-0.000289146
307.2999878	-0.000278175
307.4799805	-0.000276751
307.6600037	-0.000296641
307.8399963	-0.000296997
308.019989	-0.00029895
308.1999817	-0.000284362
308.3799744	-0.000292134
308.5599976	-0.000269677
308.7399902	-0.000285904
308.9199829	-0.000283524
309.0999756	-0.000283379
309.2799988	-0.000287105
309.4599915	-0.000289677
309.6399841	-0.000286292
309.8199768	-0.000298217
310	-0.00027561
310.1799927	-0.000285146
310.3599854	-0.000294665
310.539978	-0.00028658
310.7200012	-0.000300241
310.8999939	-0.000282983
311.0799866	-0.000277917
311.2599792	-0.000274792
311.4400024	-0.00028257
311.6199951	-0.000284876
311.7999878	-0.000276942
311.9799805	-0.000288885
312.1600037	-0.000291681
312.3399963	-0.000282357
312.519989	-0.000294136
312.6999817	-0.00028547
312.8800049	-0.000293273
313.0599976	-0.000295765
313.2399902	-0.000288365
313.4199829	-0.000289218
313.5999756	-0.000285373
313.7799988	-0.000286637
313.9599915	-0.000283973
314.1399841	-0.000291289
314.3199768	-0.000286246
314.5	-0.000283397
314.6799927	-0.000287607
314.8599854	-0.00028662
315.039978	-0.000285589
315.2200012	-0.000284763
315.3999939	-0.000294773
315.5799866	-0.000293851
315.7599792	-0.00029838
315.9400024	-0.000290449
316.1199951	-0.000290907
316.2999878	-0.000295444
316.4799805	-0.000292472
316.6600037	-0.00029044
316.8399963	-0.000300034
317.019989	-0.000292224
317.1999817	-0.000287643
317.3800049	-0.000292325
317.5599976	-0.000294944
317.7399902	-0.000289928
317.9199829	-0.000292067
318.0999756	-0.000289139
318.2799988	-0.00028591
318.4599915	-0.000302214
318.6399841	-0.00028248
318.8199768	-0.000277244
319	-0.000292776
319.1799927	-0.00029484
319.3599854	-0.000291772
319.539978	-0.000277131
319.7200012	-0.00028479
319.8999939	-0.000294723
320.0799866	-0.00029366
320.2599792	-0.000298862
320.4400024	-0.000291142
320.6199951	-0.000280194
320.7999878	-0.000290201
320.9799805	-0.000298122
321.1600037	-0.000293306
321.3399963	-0.000296379
321.519989	-0.000294567
321.6999817	-0.000297603
321.8800049	-0.00028325
322.0599976	-0.000283172
322.2399902	-0.000287581
322.4199829	-0.000296762
322.5999756	-0.000286492
322.7799988	-0.000291316
322.9599915	-0.00030114
323.1399841	-0.000291772
323.3199768	-0.000292328
323.5	-0.000295949
323.6799927	-0.000285316
323.8599854	-0.000285403
324.039978	-0.000290223
324.2200012	-0.000298363
324.3999939	-0.000304213
324.5799866	-0.000285034
324.7599792	-0.000288146
324.9400024	-0.000285097
325.1199951	-0.000298715
325.2999878	-0.000286177
325.4799805	-0.000287362
325.6600037	-0.000290742
325.8399963	-0.000298305
326.019989	-0.000283274
326.1999817	-0.000288935
326.3800049	-0.000300619
326.5599976	-0.000289668
326.7399902	-0.000289279
326.9199829	-0.000279961
327.0999756	-0.000293079
327.2799988	-0.000302711
327.4599915	-0.00028905
327.6399841	-0.000298008
327.8199768	-0.000298365
328	-0.000282389
328.1799927	-0.000295635
328.3599854	-0.000291626
328.539978	-0.000283589
328.7200012	-0.000291008
328.8999939	-0.000279607
329.0799866	-0.000301388
329.2599792	-0.000291679
329.4400024	-0.000282548
329.6199951	-0.000295706
329.7999878	-0.000290417
329.9799805	-0.000293637
330.1600037	-0.000301479
330.3399963	-0.000307292
330.519989	-0.000297679
330.6999817	-0.000302035
330.8800049	-0.000300578
331.0599976	-0.00029176
331.2399902	-0.000289075
331.4199829	-0.000288065
331.5999756	-0.000304022
331.7799988	-0.000290888
331.9599915	-0.000293603
332.1399841	-0.00029087
332.3199768	-0.000284862
332.5	-0.000291835
332.6799927	-0.000294511
332.8599854	-0.000288225
