\lambda [nm]	
279.9400024	-0.000271685
280.1199951	-0.000294694
280.2999878	-0.000292041
280.4799805	-0.00027705
280.6599731	-0.000279487
280.8399963	-0.000280744
281.019989	-0.000285004
281.1999817	-0.000332673
281.3799744	-0.000288509
281.5599976	-0.000292241
281.7399902	-0.000283618
281.9199829	-0.000309614
282.0999756	-0.000307432
282.2799988	-0.000300272
282.4599915	-0.000283045
282.6399841	-0.000294729
282.8199768	-0.000282924
283	-0.000272655
283.1799927	-0.000286104
283.3599854	-0.000296936
283.539978	-0.000292259
283.7200012	-0.000295801
283.8999939	-0.000296203
284.0799866	-0.000303741
284.2599792	-0.000285376
284.4400024	-0.00029259
284.6199951	-0.000295781
284.7999878	-0.000299698
284.9799805	-0.000283878
285.1600037	-0.000301264
285.3399963	-0.000288216
285.519989	-0.000283209
285.6999817	-0.000302504
285.8799744	-0.0002713
286.0599976	-0.000295445
286.2399902	-0.000299705
286.4199829	-0.00029048
286.5999756	-0.000300974
286.7799988	-0.000290924
286.9599915	-0.00028351
287.1399841	-0.000299425
287.3199768	-0.000306328
287.5	-0.000297439
287.6799927	-0.000298702
287.8599854	-0.000274402
288.039978	-0.000292134
288.2200012	-0.000285772
288.3999939	-0.000285211
288.5799866	-0.000293807
288.7599792	-0.00028424
288.9400024	-0.00029508
289.1199951	-0.000288961
289.2999878	-0.00030729
289.4799805	-0.000303518
289.6600037	-0.000276837
289.8399963	-0.000285524
290.019989	-0.000305741
290.1999817	-0.000278532
290.3799744	-0.000280183
290.5599976	-0.000306224
290.7399902	-0.000292793
290.9199829	-0.000288164
291.0999756	-0.000280296
291.2799988	-0.000290849
291.4599915	-0.000301244
291.6399841	-0.000291017
291.8199768	-0.000295577
292	-0.000283014
292.1799927	-0.000295401
292.3599854	-0.000293815
292.539978	-0.000299779
292.7200012	-0.000268759
292.8999939	-0.000291005
293.0799866	-0.000299704
293.2599792	-0.000300513
293.4400024	-0.000282752
293.6199951	-0.000278138
293.7999878	-0.000300994
293.9799805	-0.00030902
294.1600037	-0.000276441
294.3399963	-0.000275105
294.519989	-0.000292596
294.6999817	-0.000275635
294.8799744	-0.00030302
295.0599976	-0.000304701
295.2399902	-0.000292051
295.4199829	-0.000278167
295.5999756	-0.00029818
295.7799988	-0.000273056
295.9599915	-0.000292954
296.1399841	-0.000286492
296.3199768	-0.000290606
296.5	-0.000294509
296.6799927	-0.000289257
296.8599854	-0.000280519
297.039978	-0.000287183
297.2200012	-0.000284976
297.3999939	-0.000295376
297.5799866	-0.000308082
297.7599792	-0.000279985
297.9400024	-0.000288381
298.1199951	-0.000274912
298.2999878	-0.000299833
298.4799805	-0.000304908
298.6600037	-0.000280343
298.8399963	-0.000277504
299.019989	-0.000289348
299.1999817	-0.000281766
299.3799744	-0.000272025
299.5599976	-0.000269233
299.7399902	-0.000286184
299.9199829	-0.000280841
300.0999756	-0.000284497
300.2799988	-0.000279472
300.4599915	-0.000294384
300.6399841	-0.000276719
300.8199768	-0.000302987
301	-0.000281389
301.1799927	-0.000280951
301.3599854	-0.000279301
301.539978	-0.000293561
301.7200012	-0.000290872
301.8999939	-0.000293639
302.0799866	-0.000285292
302.2599792	-0.000277626
302.4400024	-0.000286572
302.6199951	-0.000289877
302.7999878	-0.000284966
302.9799805	-0.000308752
303.1600037	-0.000285954
303.3399963	-0.000277632
303.519989	-0.000290875
303.6999817	-0.000287184
303.8799744	-0.000280428
304.0599976	-0.00028877
304.2399902	-0.000290544
304.4199829	-0.000285899
304.5999756	-0.000291892
304.7799988	-0.000282707
304.9599915	-0.000279769
305.1399841	-0.000279826
305.3199768	-0.000288501
305.5	-0.000281743
305.6799927	-0.000289663
305.8599854	-0.000288225
306.039978	-0.000301063
306.2200012	-0.000275349
306.3999939	-0.000287053
306.5799866	-0.000287507
306.7599792	-0.00031111
306.9400024	-0.000283973
307.1199951	-0.000290358
307.2999878	-0.000277344
307.4799805	-0.000280232
307.6600037	-0.000301345
307.8399963	-0.000296513
308.019989	-0.000298597
308.1999817	-0.000287562
308.3799744	-0.000289276
308.5599976	-0.000265189
308.7399902	-0.000288442
308.9199829	-0.000284709
309.0999756	-0.000286056
309.2799988	-0.000290636
309.4599915	-0.000288664
309.6399841	-0.0002863
309.8199768	-0.000295644
310	-0.000279117
310.1799927	-0.000293182
