wavelength,QE
250,5.397
255,5.397
260,5.397
265,5.397
270,5.397
275,6.667
280,8.317
285,9.968
290,11.619
295,13.27
300,15.118
305,17.11
310,19.102
315,21.095
320,23.087
325,25.079
330,27.742
335,30.405
340,33.067
345,35.73
350,38.392
355,41.131
360,45.784
365,50.436
370,55.088
375,59.74
380,62.502
385,64.813
390,67.124
395,69.435
400,71.746
405,72.947
410,74.147
415,75.348
420,76.548
425,77.749
430,78.949
435,80.15
440,81.351
445,82.135
450,82.562
455,82.989
460,83.415
465,83.842
470,84.269
475,84.696
480,85.123
485,85.55
490,85.977
495,86.404
500,86.563
505,86.293
510,86.023
515,85.752
520,85.482
525,85.212
530,84.942
535,84.672
540,84.402
545,84.132
550,83.861
555,83.543
560,83.213
565,82.883
570,82.552
575,82.222
580,81.892
585,81.562
590,81.232
595,80.902
600,80.622
605,80.555
610,80.487
615,80.42
620,80.352
625,80.285
630,80.218
635,80.15
640,80.083
645,80.016
650,79.742
655,79.407
660,79.071
665,78.736
670,78.401
675,78.065
680,77.73
685,77.395
690,77.06
695,76.724
700,76.389
705,76.054
710,75.638
715,75.127
720,74.617
725,74.107
730,73.597
735,73.086
740,72.576
745,72.066
750,71.556
755,71.045
760,70.535
765,69.6
770,68.61
775,67.619
780,66.629
785,65.638
790,64.648
795,63.657
800,62.667
805,61.676
810,60.593
815,59.26
820,57.927
825,56.593
830,55.26
835,53.888
840,52.411
845,50.934
850,49.457
855,47.98
860,46.503
865,45.026
870,43.549
875,42.089
880,40.63
885,39.172
890,37.713
895,36.254
900,34.795
905,33.336
910,31.877
915,30.318
920,28.715
925,27.111
930,25.507
935,23.904
940,22.3
945,20.697
950,19.495
955,18.31
960,17.125
965,15.94
970,14.755
975,13.569
980,12.384
985,11.33
990,10.43
995,9.53
1000,8.629
1005,7.729
1010,6.828
1015,5.928
1020,5.027
1025,4.127
1030,3.508
1035,2.889
1040,2.27
