\lambda [nm]	
250.0599823	-1.02962E-05
250.2399902	-1.09328E-05
250.4199829	-1.12745E-05
250.5999908	-1.24602E-05
250.7799835	-9.72851E-06
250.9599915	-7.38788E-06
251.1399841	-1.16929E-05
251.3199921	-1.02674E-05
251.4999847	-1.13158E-05
251.6799927	-1.24043E-05
251.8599854	-1.01529E-05
252.0399933	-1.01031E-05
252.219986	-1.10273E-05
252.3999939	-1.28064E-05
252.5799866	-1.28273E-05
252.7599945	-1.13745E-05
252.9399872	-1.22998E-05
253.1199799	-9.88211E-06
253.2999878	-1.22484E-05
253.4799805	-5.0287E-06
253.6599884	-1.4024E-05
253.8399811	-1.03617E-05
254.019989	-1.15002E-05
254.1999817	-1.10433E-05
254.3799896	-1.06229E-05
254.5599823	-8.72062E-06
254.7399902	-1.12612E-05
254.9199829	-1.27788E-05
255.0999908	-1.01247E-05
255.2799835	-8.92719E-06
255.4599915	-9.89771E-06
255.6399841	-1.33918E-05
255.8199921	-9.70597E-06
255.9999847	-1.57987E-05
256.1799927	-1.18239E-05
256.3599854	-9.21125E-06
256.539978	-8.3464E-06
256.7200012	-9.94766E-06
256.8999939	-1.02053E-05
257.0799866	-1.13189E-05
257.2599792	-1.14433E-05
257.4400024	-9.21553E-06
257.6199951	-1.18843E-05
257.7999878	-1.24235E-05
257.9799805	-1.19564E-05
258.1599731	-1.0447E-05
258.3399963	-9.08669E-06
258.519989	-1.19878E-05
258.6999817	-1.23332E-05
258.8799744	-1.34557E-05
259.0599976	-1.08887E-05
259.2399902	-9.59186E-06
259.4199829	-1.20894E-05
259.5999756	-1.35767E-05
259.7799988	-1.137E-05
259.9599915	-1.17835E-05
260.1399841	-1.04263E-05
260.3199768	-1.48142E-05
260.5	-1.0451E-05
260.6799927	-1.42025E-05
260.8599854	-1.12162E-05
261.039978	-9.05972E-06
261.2200012	-1.28525E-05
261.3999939	-1.05642E-05
261.5799866	-1.0256E-05
261.7599792	-1.21303E-05
261.9400024	-1.22818E-05
262.1199951	-1.04208E-05
262.2999878	-1.04074E-05
262.4799805	-1.12045E-05
262.6599731	-1.27257E-05
262.8399963	-1.49023E-05
263.019989	-1.05392E-05
263.1999817	-1.23622E-05
263.3799744	-1.12768E-05
263.5599976	-1.27383E-05
263.7399902	-1.29328E-05
263.9199829	-1.1492E-05
264.0999756	-1.54444E-05
264.2799988	-9.62112E-06
264.4599915	-1.30339E-05
264.6399841	-1.18024E-05
264.8199768	-1.2573E-05
265	-1.24554E-05
265.1799927	-5.70523E-06
265.3599854	-1.0954E-05
265.539978	-1.09682E-05
265.7200012	-1.36203E-05
265.8999939	-1.06517E-05
266.0799866	-9.91039E-06
266.2599792	-1.09887E-05
266.4400024	-1.18799E-05
266.6199951	-1.08507E-05
266.7999878	-1.1707E-05
266.9799805	-1.05344E-05
267.1599731	-7.55009E-06
267.3399963	-1.19539E-05
267.519989	-6.9258E-06
267.6999817	-1.21228E-05
267.8799744	-1.10266E-05
268.0599976	-1.04978E-05
268.2399902	-1.50187E-05
268.4199829	-8.62442E-06
268.5999756	-1.0954E-05
268.7799988	-9.94049E-06
268.9599915	-8.4949E-06
269.1399841	-1.29246E-05
269.3199768	-1.0512E-05
269.5	-9.66576E-06
269.6799927	-1.07643E-05
269.8599854	-9.97298E-06
270.039978	-0.00030034
270.2200012	-0.000304153
270.3999939	-0.000310409
270.5799866	-0.000301569
270.7599792	-0.00030639
270.9400024	-0.000304184
271.1199951	-0.000299809
271.2999878	-0.00030554
271.4799805	-0.000300495
271.6599731	-0.000291566
271.8399963	-0.000298261
272.019989	-0.000302666
272.1999817	-0.000303256
272.3799744	-0.000303576
272.5599976	-0.000303243
272.7399902	-0.000310384
272.9199829	-0.000301958
273.0999756	-0.000307203
273.2799988	-0.000304736
273.4599915	-0.00030256
273.6399841	-0.000293911
273.8199768	-0.000299094
274	-0.000290376
274.1799927	-0.000310872
274.3599854	-0.00029883
274.539978	-0.00029673
274.7200012	-0.000299736
274.8999939	-0.000301545
275.0799866	-0.000301899
275.2599792	-0.000302298
275.4400024	-0.000310049
275.6199951	-0.000297203
275.7999878	-0.000307728
275.9799805	-0.000305199
276.1599731	-0.000298636
276.3399963	-0.00030617
276.519989	-0.000308571
276.6999817	-0.000299217
276.8799744	-0.000299633
277.0599976	-0.000302477
277.2399902	-0.000306602
277.4199829	-0.000303016
277.5999756	-0.000297592
277.7799988	-0.000302523
277.9599915	-0.00029541
278.1399841	-0.00029892
278.3199768	-0.000295482
278.5	-0.00030517
278.6799927	-0.000308844
278.8599854	-0.000303819
279.039978	-0.000315921
279.2200012	-0.000299088
279.3999939	-0.000298838
279.5799866	-0.000307078
279.7599792	-0.000297299
279.9400024	-0.000266973
280.1199951	-0.000299921
280.2999878	-0.000298057
280.4799805	-0.00028682
280.6599731	-0.000289939
280.8399963	-0.000280669
281.019989	-0.000285976
281.1999817	-0.000327685
281.3799744	-0.000282222
281.5599976	-0.000296753
281.7399902	-0.000289835
281.9199829	-0.000312874
282.0999756	-0.000300485
282.2799988	-0.000303154
282.4599915	-0.000280264
282.6399841	-0.000288548
282.8199768	-0.000282461
283	-0.000274478
283.1799927	-0.000288069
283.3599854	-0.000289162
283.539978	-0.000290203
283.7200012	-0.000294397
283.8999939	-0.000292379
284.0799866	-0.000301562
284.2599792	-0.00028816
284.4400024	-0.000283496
284.6199951	-0.000288617
284.7999878	-0.000306883
284.9799805	-0.00028957
285.1600037	-0.000293975
285.3399963	-0.00028737
285.519989	-0.00028031
285.6999817	-0.000302969
285.8799744	-0.000275394
286.0599976	-0.000301285
286.2399902	-0.00030188
286.4199829	-0.000291634
286.5999756	-0.000307649
286.7799988	-0.000287512
286.9599915	-0.000283083
287.1399841	-0.000301928
287.3199768	-0.000311135
287.5	-0.000302243
287.6799927	-0.000298089
287.8599854	-0.000277051
288.039978	-0.00029619
288.2200012	-0.000283502
288.3999939	-0.000290468
288.5799866	-0.000289332
288.7599792	-0.00028633
288.9400024	-0.000300397
289.1199951	-0.000288026
289.2999878	-0.000309877
289.4799805	-0.0002976
289.6600037	-0.000282637
289.8399963	-0.000285998
290.019989	-0.000301408
290.1999817	-0.000287503
290.3799744	-0.000289342
290.5599976	-0.000304566
290.7399902	-0.000296747
290.9199829	-0.000291228
291.0999756	-0.000270748
291.2799988	-0.000284615
291.4599915	-0.00030033
291.6399841	-0.000293537
291.8199768	-0.00029383
292	-0.000282868
292.1799927	-0.000292607
292.3599854	-0.00029696
292.539978	-0.000302099
292.7200012	-0.000265774
292.8999939	-0.000298812
293.0799866	-0.000292336
293.2599792	-0.000306565
293.4400024	-0.000281851
293.6199951	-0.000272442
293.7999878	-0.000299515
293.9799805	-0.000309006
294.1600037	-0.000282807
294.3399963	-0.000275539
294.519989	-0.000291468
294.6999817	-0.000278431
294.8799744	-0.000300696
295.0599976	-0.000305953
295.2399902	-0.000292884
295.4199829	-0.000278759
295.5999756	-0.000292129
295.7799988	-0.000273427
295.9599915	-0.000292051
296.1399841	-0.000288084
296.3199768	-0.000283695
296.5	-0.000289241
296.6799927	-0.000295729
296.8599854	-0.000279821
297.039978	-0.000287388
297.2200012	-0.000283481
297.3999939	-0.000294052
297.5799866	-0.00030564
297.7599792	-0.000280261
297.9400024	-0.000283425
298.1199951	-0.000277048
298.2999878	-0.000303853
298.4799805	-0.000297062
298.6600037	-0.000274199
298.8399963	-0.000277831
299.019989	-0.000294061
299.1999817	-0.000280723
299.3799744	-0.000273694
299.5599976	-0.000271464
299.7399902	-0.000288488
299.9199829	-0.000279483
300.0999756	-0.000286384
300.2799988	-0.000279717
300.4599915	-0.000294953
300.6399841	-0.000278034
300.8199768	-0.000292269
301	-0.000278026
301.1799927	-0.000286082
301.3599854	-0.000276116
301.539978	-0.000294221
301.7200012	-0.00028768
301.8999939	-0.000292274
302.0799866	-0.00027717
302.2599792	-0.000278789
302.4400024	-0.0002903
302.6199951	-0.000283522
302.7999878	-0.000286482
302.9799805	-0.000303877
303.1600037	-0.000282421
303.3399963	-0.000279971
303.519989	-0.000292378
303.6999817	-0.000283915
303.8799744	-0.000280944
304.0599976	-0.00028426
304.2399902	-0.000289263
304.4199829	-0.000290741
304.5999756	-0.000290895
304.7799988	-0.000283255
304.9599915	-0.000278307
305.1399841	-0.000280653
305.3199768	-0.000287278
305.5	-0.000277339
305.6799927	-0.000281981
305.8599854	-0.000287632
306.039978	-0.00029707
306.2200012	-0.000276043
306.3999939	-0.000290396
306.5799866	-0.000286571
306.7599792	-0.000299635
306.9400024	-0.000286817
307.1199951	-0.000290392
307.2999878	-0.000284347
307.4799805	-0.000280377
307.6600037	-0.000301261
307.8399963	-0.000292339
308.019989	-0.000297097
308.1999817	-0.000288133
308.3799744	-0.000289507
308.5599976	-0.000273201
308.7399902	-0.000287641
308.9199829	-0.000283028
309.0999756	-0.000283259
309.2799988	-0.000286539
309.4599915	-0.000287838
309.6399841	-0.000283735
309.8199768	-0.000299555
310	-0.00028207
310.1799927	-0.000290993
310.3599854	-0.000293618
310.539978	-0.000287974
310.7200012	-0.000299264
310.8999939	-0.000280705
311.0799866	-0.00027993
311.2599792	-0.000276482
311.4400024	-0.000280354
311.6199951	-0.000278658
311.7999878	-0.000277279
311.9799805	-0.000286421
312.1600037	-0.00029194
312.3399963	-0.000288008
312.519989	-0.000295906
312.6999817	-0.000286036
312.8800049	-0.00029514
313.0599976	-0.000299804
313.2399902	-0.000289001
313.4199829	-0.000298262
313.5999756	-0.000290384
313.7799988	-0.000285504
313.9599915	-0.000280841
314.1399841	-0.000290705
314.3199768	-0.00028676
314.5	-0.000286049
314.6799927	-0.000288664
