\lambda [nm]	
250.0599823	-1.02962E-05
250.2399902	-1.09328E-05
250.4199829	-1.12745E-05
250.5999908	-1.24602E-05
250.7799835	-9.72851E-06
250.9599915	-7.38788E-06
251.1399841	-1.16929E-05
251.3199921	-1.02674E-05
251.4999847	-1.13158E-05
251.6799927	-1.24043E-05
251.8599854	-1.01529E-05
252.0399933	-1.01031E-05
252.219986	-1.10273E-05
252.3999939	-1.28064E-05
252.5799866	-1.28273E-05
252.7599945	-1.13745E-05
252.9399872	-1.22998E-05
253.1199799	-9.88211E-06
253.2999878	-1.22484E-05
253.4799805	-5.0287E-06
253.6599884	-1.4024E-05
253.8399811	-1.03617E-05
254.019989	-1.15002E-05
254.1999817	-1.10433E-05
254.3799896	-1.06229E-05
254.5599823	-8.72062E-06
254.7399902	-1.12612E-05
254.9199829	-1.27788E-05
255.0999908	-1.01247E-05
255.2799835	-8.92719E-06
255.4599915	-9.89771E-06
255.6399841	-1.33918E-05
255.8199921	-9.70597E-06
255.9999847	-1.57987E-05
256.1799927	-1.18239E-05
256.3599854	-9.21125E-06
256.539978	-8.3464E-06
256.7200012	-9.94766E-06
256.8999939	-1.02053E-05
257.0799866	-1.13189E-05
257.2599792	-1.14433E-05
257.4400024	-9.21553E-06
257.6199951	-1.18843E-05
257.7999878	-1.24235E-05
257.9799805	-1.19564E-05
258.1599731	-1.0447E-05
258.3399963	-9.08669E-06
258.519989	-1.19878E-05
258.6999817	-1.23332E-05
258.8799744	-1.34557E-05
259.0599976	-1.08887E-05
259.2399902	-9.59186E-06
259.4199829	-1.20894E-05
259.5999756	-1.35767E-05
259.7799988	-1.137E-05
259.9599915	-1.17835E-05
260.1399841	-1.04263E-05
260.3199768	-1.48142E-05
260.5	-1.0451E-05
260.6799927	-1.42025E-05
260.8599854	-1.12162E-05
261.039978	-9.05972E-06
261.2200012	-1.28525E-05
261.3999939	-1.05642E-05
261.5799866	-1.0256E-05
261.7599792	-1.21303E-05
261.9400024	-1.22818E-05
262.1199951	-1.04208E-05
262.2999878	-1.04074E-05
262.4799805	-1.12045E-05
262.6599731	-1.27257E-05
262.8399963	-1.49023E-05
263.019989	-1.05392E-05
263.1999817	-1.23622E-05
263.3799744	-1.12768E-05
263.5599976	-1.27383E-05
263.7399902	-1.29328E-05
263.9199829	-1.1492E-05
264.0999756	-1.54444E-05
264.2799988	-9.62112E-06
264.4599915	-1.30339E-05
264.6399841	-1.18024E-05
264.8199768	-1.2573E-05
265	-1.24554E-05
265.1799927	-5.70523E-06
265.3599854	-1.0954E-05
265.539978	-1.09682E-05
265.7200012	-1.36203E-05
265.8999939	-1.06517E-05
266.0799866	-9.91039E-06
266.2599792	-1.09887E-05
266.4400024	-1.18799E-05
266.6199951	-1.08507E-05
266.7999878	-1.1707E-05
266.9799805	-1.05344E-05
267.1599731	-7.55009E-06
267.3399963	-1.19539E-05
267.519989	-6.9258E-06
267.6999817	-1.21228E-05
267.8799744	-1.10266E-05
268.0599976	-1.04978E-05
268.2399902	-1.50187E-05
268.4199829	-8.62442E-06
268.5999756	-1.0954E-05
268.7799988	-9.94049E-06
268.9599915	-8.4949E-06
269.1399841	-1.29246E-05
269.3199768	-1.0512E-05
269.5	-9.66576E-06
269.6799927	-1.07643E-05
269.8599854	-9.97298E-06
270.039978	-1.15555E-05
270.2200012	-1.12061E-05
270.3999939	-1.09541E-05
270.5799866	-1.48205E-05
270.7599792	-1.06375E-05
270.9400024	-1.32265E-05
271.1199951	-1.26763E-05
271.2999878	-1.42613E-05
271.4799805	-1.24459E-05
271.6599731	-1.11911E-05
271.8399963	-1.52165E-05
272.019989	-6.72467E-06
272.1999817	-1.20582E-05
272.3799744	-1.31601E-05
272.5599976	-1.01335E-05
272.7399902	-1.3164E-05
272.9199829	-1.33664E-05
273.0999756	-1.00185E-05
273.2799988	-1.31614E-05
273.4599915	-1.27645E-05
273.6399841	-9.33138E-06
273.8199768	-1.41208E-05
274	-1.53475E-05
274.1799927	-1.15078E-05
274.3599854	-1.15157E-05
274.539978	-9.19652E-06
274.7200012	-9.97535E-06
274.8999939	-1.06057E-05
275.0799866	-1.15314E-05
275.2599792	-1.47835E-05
275.4400024	-9.35071E-06
275.6199951	-9.96833E-06
275.7999878	-1.2542E-05
275.9799805	-9.08451E-06
276.1599731	-1.15669E-05
276.3399963	-1.01344E-05
276.519989	-1.10685E-05
276.6999817	-1.33316E-05
276.8799744	-1.08641E-05
277.0599976	-1.11646E-05
277.2399902	-1.16384E-05
277.4199829	-1.19741E-05
277.5999756	-1.21077E-05
277.7799988	-1.12433E-05
277.9599915	-1.23002E-05
278.1399841	-1.20598E-05
278.3199768	-1.0439E-05
278.5	-1.15573E-05
278.6799927	-1.25251E-05
278.8599854	-8.29847E-06
279.039978	-1.08725E-05
279.2200012	-1.35286E-05
279.3999939	-1.11844E-05
279.5799866	-8.61961E-06
279.7599792	-1.48405E-05
279.9400024	-1.02286E-05
280.1199951	-1.30418E-05
280.2999878	-0.00000097
280.4799805	-1.35635E-05
280.6599731	-2.16109E-05
280.8399963	-2.42717E-05
281.019989	-4.26227E-06
281.1999817	-1.79908E-05
281.3799744	-1.54063E-05
281.5599976	-1.70546E-05
281.7399902	-2.13012E-05
281.9199829	-1.54672E-05
282.0999756	-1.58576E-05
282.2799988	-9.4219E-06
282.4599915	-1.31526E-05
282.6399841	-1.95711E-05
282.8199768	-2.5145E-05
283	-9.59028E-06
283.1799927	-1.20532E-05
283.3599854	-1.0233E-05
283.539978	-2.37703E-05
283.7200012	-1.57307E-05
283.8999939	-1.76173E-05
284.0799866	-1.5302E-05
284.2599792	-9.15311E-06
284.4400024	-1.56094E-05
284.6199951	-1.22165E-05
284.7999878	-2.37202E-05
284.9799805	-2.13578E-05
285.1600037	-2.66475E-05
285.3399963	-8.59798E-06
285.519989	-6.83097E-06
285.6999817	-2.56695E-05
285.8799744	-2.33669E-05
286.0599976	-1.22767E-05
286.2399902	-1.14184E-05
286.4199829	-1.28001E-05
286.5999756	-1.42109E-05
286.7799988	-5.3664E-06
286.9599915	-9.46265E-06
287.1399841	-1.85059E-05
287.3199768	-1.13659E-05
287.5	-1.16326E-05
287.6799927	-1.55508E-05
287.8599854	-1.43168E-05
288.039978	-6.29456E-06
288.2200012	-1.82003E-05
288.3999939	-1.60443E-05
288.5799866	-3.26808E-05
288.7599792	-1.92091E-05
288.9400024	-1.55684E-05
289.1199951	-1.63414E-05
289.2999878	-1.84556E-05
289.4799805	-1.32558E-05
289.6600037	-2.33424E-05
289.8399963	-1.70984E-05
290.019989	-1.20023E-05
290.1999817	-5.99732E-06
290.3799744	-1.05367E-05
290.5599976	-1.5086E-05
290.7399902	-1.78373E-05
290.9199829	-1.71657E-05
291.0999756	-1.50149E-05
291.2799988	-2.31008E-05
291.4599915	-7.57922E-06
291.6399841	-7.60986E-06
291.8199768	-1.3534E-05
292	-1.66428E-05
292.1799927	-1.73751E-05
292.3599854	-1.26073E-05
292.539978	-1.32078E-05
292.7200012	-1.16739E-05
292.8999939	-9.7489E-06
293.0799866	-1.13371E-05
293.2599792	-4.1443E-06
293.4400024	-1.32535E-05
293.6199951	-2.13123E-05
293.7999878	-1.84913E-05
293.9799805	-2.05934E-05
294.1600037	-1.49612E-05
294.3399963	-9.35283E-06
294.519989	-3.55356E-06
294.6999817	-7.78608E-06
294.8799744	-1.53288E-05
295.0599976	-1.32628E-05
295.2399902	-1.23167E-05
295.4199829	-1.36262E-05
295.5999756	-1.12502E-05
295.7799988	-1.90618E-05
295.9599915	-1.1483E-05
296.1399841	-8.97411E-06
296.3199768	-1.53158E-05
296.5	-9.00921E-06
296.6799927	-1.24427E-05
296.8599854	-6.2571E-06
297.039978	-8.0353E-06
297.2200012	-1.5085E-05
297.3999939	-1.75165E-05
297.5799866	-1.20509E-05
297.7599792	-1.49704E-05
297.9400024	-1.26871E-05
298.1199951	-1.67376E-05
298.2999878	-1.87391E-05
298.4799805	-8.03526E-06
298.6600037	-5.0324E-06
298.8399963	-1.17885E-05
299.019989	1.17218E-05
299.1999817	7.61313E-06
299.3799744	2.11524E-05
299.5599976	2.08626E-05
299.7399902	8.45257E-06
299.9199829	-2.01982E-06
300.0999756	-9.80902E-06
300.2799988	-9.5795E-06
300.4599915	-5.34769E-06
300.6399841	-5.74671E-06
300.8199768	-2.50425E-06
301	-2.68724E-06
301.1799927	-1.23905E-05
301.3599854	2.21037E-06
301.539978	1.58935E-05
301.7200012	1.83216E-05
301.8999939	2.26974E-05
302.0799866	1.75697E-05
302.2599792	1.32096E-05
302.4400024	-1.72415E-05
302.6199951	-5.54184E-06
302.7999878	-2.89301E-06
302.9799805	-5.2451E-06
303.1600037	-9.63406E-06
303.3399963	-2.43447E-06
303.519989	-1.10954E-05
303.6999817	6.09929E-06
303.8799744	1.09502E-05
304.0599976	2.91206E-05
304.2399902	4.14583E-05
304.4199829	6.77302E-05
304.5999756	0.000105558
304.7799988	0.000133144
304.9599915	0.000152574
305.1399841	0.000167812
305.3199768	0.000162955
305.5	0.000182441
305.6799927	0.000226571
305.8599854	0.000286571
306.039978	0.000364845
306.2200012	0.00047832
306.3999939	0.000671908
306.5799866	0.001107755
306.7599792	0.002484715
306.9400024	0.004406341
307.1199951	0.005760173
307.2999878	0.00529078
307.4799805	0.003239788
307.6600037	0.001337477
307.8399963	0.000383831
308.019989	0.000174682
308.1999817	0.000106625
308.3799744	7.55421E-05
308.5599976	6.37387E-05
308.7399902	4.10503E-05
308.9199829	4.3515E-05
309.0999756	5.42609E-05
309.2799988	6.0254E-05
309.4599915	6.51894E-05
309.6399841	0.000113652
309.8199768	0.000165215
