#  Epoch   U       B       V       g       r       i
  -20.000    6.47187e-29    6.41030e-29    6.37024e-29    7.24544e-29    5.78734e-29    4.70645e-29
  -19.000    6.07594e-29    6.41030e-29    6.39763e-29    7.18632e-29    5.75654e-29    4.89248e-29
  -18.000    5.94205e-29    6.41030e-29    6.46432e-29    7.15461e-29    5.96457e-29    4.42157e-29
  -17.000    2.24474e-04    1.80252e-04    1.75900e-04    2.01593e-04    1.83421e-04    1.53524e-04
  -16.000    1.11590e-02    9.06651e-03    8.91450e-03    9.97600e-03    9.22462e-03    7.67324e-03
  -15.000    3.99272e-02    3.13329e-02    3.09146e-02    3.41998e-02    3.18796e-02    2.64463e-02
  -14.000    9.01778e-02    6.69761e-02    6.61580e-02    7.26377e-02    6.84636e-02    5.59167e-02
  -13.000    1.64396e-01    1.15995e-01    1.14602e-01    1.25341e-01    1.17637e-01    9.74830e-02
  -12.000    2.65420e-01    1.78402e-01    1.76469e-01    1.91999e-01    1.80311e-01    1.50243e-01
  -11.000    3.95711e-01    2.54191e-01    2.51650e-01    2.72432e-01    2.56288e-01    2.15246e-01
  -10.000    5.61196e-01    3.43337e-01    3.39603e-01    3.67187e-01    3.42326e-01    2.87327e-01
   -9.000    7.53591e-01    4.43119e-01    4.32592e-01    4.71809e-01    4.30857e-01    3.56378e-01
   -8.000    9.53842e-01    5.47066e-01    5.22907e-01    5.78498e-01    5.16799e-01    4.19416e-01
   -7.000    1.14272e+00    6.49471e-01    6.09168e-01    6.81750e-01    5.98776e-01    4.73615e-01
   -6.000    1.30121e+00    7.44869e-01    6.88710e-01    7.77882e-01    6.74365e-01    5.16409e-01
   -5.000    1.41928e+00    8.27637e-01    7.59873e-01    8.62304e-01    7.42310e-01    5.45722e-01
   -4.000    1.49386e+00    8.93223e-01    8.22236e-01    9.30666e-01    8.02510e-01    5.63820e-01
   -3.000    1.52854e+00    9.41976e-01    8.74645e-01    9.83025e-01    8.53205e-01    5.73614e-01
   -2.000    1.53379e+00    9.75079e-01    9.16228e-01    1.02162e+00    8.91514e-01    5.76028e-01
   -1.000    1.51471e+00    9.94031e-01    9.47465e-01    1.04773e+00    9.18240e-01    5.70353e-01
    0.000    1.47484e+00    1.00000e+00    9.69423e-01    1.06125e+00    9.35446e-01    5.59783e-01
    1.000    1.41835e+00    9.94489e-01    9.82643e-01    1.06355e+00    9.43477e-01    5.45950e-01
    2.000    1.34812e+00    9.78678e-01    9.87169e-01    1.05464e+00    9.43861e-01    5.30284e-01
    3.000    1.26864e+00    9.54026e-01    9.83566e-01    1.03527e+00    9.37376e-01    5.14729e-01
    4.000    1.18426e+00    9.21807e-01    9.71722e-01    1.00935e+00    9.20867e-01    4.93715e-01
    5.000    1.09770e+00    8.83405e-01    9.52634e-01    9.77553e-01    8.95582e-01    4.69309e-01
    6.000    1.00978e+00    8.40001e-01    9.27522e-01    9.38774e-01    8.64673e-01    4.46358e-01
    7.000    9.22002e-01    7.92647e-01    8.97043e-01    8.94540e-01    8.28808e-01    4.24132e-01
    8.000    8.36283e-01    7.42540e-01    8.61948e-01    8.46507e-01    7.89346e-01    4.01943e-01
    9.000    7.53714e-01    6.90749e-01    8.23136e-01    7.95381e-01    7.48252e-01    3.80152e-01
   10.000    6.74045e-01    6.38499e-01    7.82292e-01    7.42973e-01    7.05467e-01    3.56537e-01
   11.000    5.98075e-01    5.86786e-01    7.41012e-01    6.90462e-01    6.62323e-01    3.32754e-01
   12.000    5.26792e-01    5.36834e-01    7.00356e-01    6.39717e-01    6.18895e-01    3.15150e-01
   13.000    4.62149e-01    4.89553e-01    6.60839e-01    5.91424e-01    5.77073e-01    3.03614e-01
   14.000    4.05814e-01    4.45082e-01    6.22898e-01    5.45345e-01    5.39571e-01    2.96399e-01
   15.000    3.56865e-01    4.03497e-01    5.87778e-01    4.99423e-01    5.11580e-01    2.87862e-01
   16.000    3.14729e-01    3.64788e-01    5.55774e-01    4.55385e-01    4.92061e-01    2.82616e-01
   17.000    2.78445e-01    3.28973e-01    5.27344e-01    4.15514e-01    4.78588e-01    2.83458e-01
   18.000    2.47015e-01    2.96074e-01    5.02590e-01    3.80785e-01    4.69283e-01    2.89991e-01
   19.000    2.19863e-01    2.66048e-01    4.79878e-01    3.48684e-01    4.63903e-01    2.98426e-01
   20.000    1.96245e-01    2.38957e-01    4.59058e-01    3.18688e-01    4.61605e-01    3.08798e-01
   21.000    1.75480e-01    2.14783e-01    4.39788e-01    2.90677e-01    4.61075e-01    3.20157e-01
   22.000    1.57011e-01    1.93517e-01    4.21356e-01    2.65506e-01    4.59924e-01    3.29419e-01
   23.000    1.40353e-01    1.74952e-01    4.03304e-01    2.43140e-01    4.56614e-01    3.35584e-01
   24.000    1.25835e-01    1.58855e-01    3.85018e-01    2.24391e-01    4.49866e-01    3.37679e-01
   25.000    1.13258e-01    1.44997e-01    3.66437e-01    2.07420e-01    4.39979e-01    3.37762e-01
   26.000    1.02549e-01    1.33144e-01    3.47785e-01    1.91995e-01    4.27465e-01    3.35861e-01
   27.000    9.34318e-02    1.23061e-01    3.29209e-01    1.78239e-01    4.11991e-01    3.32407e-01
   28.000    8.59168e-02    1.14520e-01    3.10845e-01    1.66427e-01    3.93080e-01    3.27735e-01
   29.000    8.04462e-02    1.07270e-01    2.93057e-01    1.55806e-01    3.73050e-01    3.20848e-01
   30.000    7.71766e-02    1.01102e-01    2.76074e-01    1.46196e-01    3.52524e-01    3.11721e-01
